Feature,Feature label,Input value,SHAP value,Absolute SHAP
YEAR_BUILT_027,Design/build year,2025.0,0.6391322236418431,0.6391322236418431
MAIN_UNIT_SPANS_045,Number of main spans,3.0,0.3939683647463314,0.3939683647463314
STRUCTURE_LEN_MT_049,Structure length (m),45.0,0.13361789519506215,0.13361789519506215
PERCENT_ADT_TRUCK_109,Truck traffic (%),8.0,0.11641339221535568,0.11641339221535568
FUNCTIONAL_CLASS_026,Functional classification,9.0,-0.11092499427857018,0.11092499427857018
ADT_029,Average daily traffic,3500.0,-0.0931566389222396,0.0931566389222396
DECK_WIDTH_MT_052,Deck width (m),10.5,0.06205400899468419,0.06205400899468419
MAX_SPAN_LEN_MT_048,Maximum span length (m),18.0,-0.057065630203404646,0.057065630203404646
APPR_WIDTH_MT_032,Approach width (m),9.0,-0.03777317121690467,0.03777317121690467
DEGREES_SKEW_034,Skew angle (degrees),10.0,-0.01304388728785363,0.01304388728785363
TRAFFIC_LANES_ON_028A,Traffic lanes,2.0,0.002316970096604757,0.002316970096604757
