,STRUCTURE_LEN_MT_049,MAX_SPAN_LEN_MT_048,MAIN_UNIT_SPANS_045,DECK_WIDTH_MT_052,APPR_WIDTH_MT_032,DEGREES_SKEW_034,ADT_029,PERCENT_ADT_TRUCK_109,TRAFFIC_LANES_ON_028A,YEAR_BUILT_027,FUNCTIONAL_CLASS_026
STRUCTURE_LEN_MT_049,1.0,0.3683839233322683,0.2794534361619494,0.09745902035963748,0.11727952095676569,0.07329166316534932,0.12195969166435344,0.0565804896608219,0.0666138142216052,0.04802964799565731,0.009729283626400614
MAX_SPAN_LEN_MT_048,0.3683839233322683,1.0,0.02053354701771171,0.2686705381478704,0.29395557220684876,0.1718695839436975,0.24088532553854516,0.07619878982141418,0.1690838669316366,0.20773844657260515,0.0707567843392919
MAIN_UNIT_SPANS_045,0.2794534361619494,0.02053354701771171,1.0,0.020279288421588795,0.028675899852488335,0.0014707172741047082,0.031788692056652655,0.03075413524701053,0.2054100590604073,0.0012128299588857676,-0.01570189962960284
DECK_WIDTH_MT_052,0.09745902035963748,0.2686705381478704,0.020279288421588795,1.0,0.8090212615628887,0.15757156331628092,0.6011400156567908,0.07303732834801921,0.6740968407114967,0.09684233570272402,0.1836915827282074
APPR_WIDTH_MT_032,0.11727952095676569,0.29395557220684876,0.028675899852488335,0.8090212615628887,1.0,0.15300883907172536,0.6458120020082406,0.11254205714138311,0.6676002439718708,0.07495025263035666,0.11356969531629195
DEGREES_SKEW_034,0.07329166316534932,0.1718695839436975,0.0014707172741047082,0.15757156331628092,0.15300883907172536,1.0,0.1544610616137148,0.034274566438100604,0.08961396337193366,0.04593133417389283,0.05176538585623566
ADT_029,0.12195969166435344,0.24088532553854516,0.031788692056652655,0.6011400156567908,0.6458120020082406,0.1544610616137148,1.0,0.04621636027160933,0.5613971320534037,0.003235068321835617,0.10547373431457828
PERCENT_ADT_TRUCK_109,0.0565804896608219,0.07619878982141418,0.03075413524701053,0.07303732834801921,0.11254205714138311,0.034274566438100604,0.04621636027160933,1.0,0.006188302522545454,0.021398064018577335,-0.3338289272379378
TRAFFIC_LANES_ON_028A,0.0666138142216052,0.1690838669316366,0.2054100590604073,0.6740968407114967,0.6676002439718708,0.08961396337193366,0.5613971320534037,0.006188302522545454,1.0,0.0421027531514872,0.14994225716764284
YEAR_BUILT_027,0.04802964799565731,0.20773844657260515,0.0012128299588857676,0.09684233570272402,0.07495025263035666,0.04593133417389283,0.003235068321835617,0.021398064018577335,0.0421027531514872,1.0,0.008103256538546709
FUNCTIONAL_CLASS_026,0.009729283626400614,0.0707567843392919,-0.01570189962960284,0.1836915827282074,0.11356969531629195,0.05176538585623566,0.10547373431457828,-0.3338289272379378,0.14994225716764284,0.008103256538546709,1.0
