,count,mean,std,min,5%,25%,50%,75%,95%,max
STRUCTURE_LEN_MT_049,471799.0,56.25796663409628,173.51262861438167,6.1,8.2,15.2,30.4,58.8,154.2,38791.6
MAX_SPAN_LEN_MT_048,471799.0,18.85120358457733,14.39257767051946,0.3,5.8,9.4,15.2,24.4,42.1,1748.6
MAIN_UNIT_SPANS_045,471799.0,2.951335208425622,10.661059508972205,1.0,1.0,1.0,2.0,3.0,6.0,900.0
DECK_WIDTH_MT_052,471799.0,11.953460689827665,7.670620954284734,0.8,5.4,7.9,9.8,13.3,25.6,999.9
APPR_WIDTH_MT_032,471799.0,10.203942356808726,6.504585848715024,0.3,4.9,6.7,8.5,12.2,21.3,999.9
DEGREES_SKEW_034,471799.0,12.019349341562826,18.55978980390978,0.0,0.0,0.0,0.0,20.0,45.0,99.0
ADT_029,471799.0,8608.179347561143,22507.54331170525,0.0,20.0,114.0,975.0,7096.0,40644.59999999986,882085.0
PERCENT_ADT_TRUCK_109,451512.0,8.220173550204645,8.854717240595738,0.0,0.0,2.0,6.0,10.0,26.0,99.0
TRAFFIC_LANES_ON_028A,471798.0,2.275802356093074,1.2980255529915121,1.0,1.0,2.0,2.0,2.0,4.0,82.0
YEAR_BUILT_027,471799.0,1977.783564611201,27.062549722008757,1697.0,1930.0,1961.0,1979.0,1999.0,2017.0,2026.0
FUNCTIONAL_CLASS_026,471799.0,9.622017003003398,4.32337488656326,1.0,2.0,7.0,9.0,11.0,19.0,19.0
